10/04/20,17:43:57,470,93,532,69,650,61,516
10/04/20,17:43:58,470,76,532,65,650,57,516
10/04/20,17:43:59,470,3,532,63,650,48,516
10/04/20,17:44:00,470,100,532,72,650,61,516
10/04/20,17:44:01,470,-2,532,37,650,46,516
10/04/20,17:44:02,470,5,532,38,650,49,516
10/04/20,17:44:04,470,-21,532,38,650,46,516
10/04/20,17:44:05,470,43,532,41,650,54,516
10/04/20,17:44:06,470,54,532,43,650,55,516
10/04/20,17:44:07,470,104,532,72,650,63,516
10/04/20,17:44:08,470,-14,532,49,650,45,516
10/04/20,17:44:09,470,13,532,45,650,50,516
10/04/20,17:44:10,470,10,532,45,650,50,516
10/04/20,17:44:12,470,86,532,63,650,61,516
10/04/20,17:44:13,470,8,532,58,650,49,516
10/04/20,17:44:14,470,62,532,66,650,59,516
10/04/20,17:44:18,470,65,532,55,650,53,516
10/04/20,17:44:19,470,54,532,53,650,54,516
10/04/20,17:44:21,470,71,532,55,650,57,516
10/04/20,17:44:22,470,82,532,57,650,57,516
10/04/20,17:44:23,470,78,532,57,650,58,516
10/04/20,17:44:24,470,91,532,55,650,61,516
10/04/20,17:44:25,470,116,532,58,650,61,516
10/04/20,17:44:26,470,54,532,54,650,53,516
10/04/20,17:44:27,470,-25,532,49,650,40,516
10/04/20,17:44:28,470,11,532,51,650,48,516
10/04/20,17:44:30,470,62,532,56,650,59,516
10/04/20,17:44:31,470,6,532,50,650,46,516
10/04/20,17:44:32,470,62,532,57,650,59,516
10/04/20,17:44:33,470,17,532,53,650,50,516
10/04/20,17:44:34,470,78,532,53,650,58,516
10/04/20,17:44:35,470,26,532,55,650,53,516
10/04/20,17:44:36,470,89,532,55,650,63,516
10/04/20,17:44:37,470,-1,532,52,650,51,516
10/04/20,17:44:39,470,-12,532,53,650,45,516
10/04/20,17:44:40,470,96,532,57,650,64,516
10/04/20,17:44:41,470,-15,532,53,650,51,516
10/04/20,17:44:42,470,-20,532,50,650,44,516
10/04/20,17:44:43,470,27,532,52,650,57,516
10/04/20,17:44:44,470,70,532,56,650,62,516
10/04/20,17:44:45,470,70,532,55,650,64,516
10/04/20,17:44:46,470,22,532,51,650,50,516
10/04/20,17:44:48,470,136,532,58,650,69,516
10/04/20,17:44:49,470,3,532,52,650,51,516
10/04/20,17:44:50,470,61,532,53,650,60,516
10/04/20,17:44:51,470,-20,532,51,650,52,516
10/04/20,17:44:52,470,-31,532,52,650,43,516
10/04/20,17:44:53,470,-60,532,50,650,44,516
10/04/20,17:44:54,470,-61,532,50,650,41,516
10/04/20,17:44:56,470,12,532,51,650,48,516
10/04/20,17:44:57,470,136,532,56,650,67,516
10/04/20,17:44:58,470,94,532,56,650,64,516
10/04/20,17:44:59,470,88,532,55,650,63,516
10/04/20,17:45:00,470,113,532,57,650,66,516
10/04/20,17:45:01,470,-35,532,52,650,41,516
10/04/20,17:45:02,470,113,532,59,650,67,516
10/04/20,17:45:03,470,13,532,52,650,45,516
10/04/20,17:45:05,470,29,532,50,650,50,516
10/04/20,17:45:06,470,-36,532,50,650,45,516
10/04/20,17:45:07,470,-29,532,51,650,45,516
10/04/20,17:45:08,470,78,532,56,650,56,516
10/04/20,17:45:09,470,91,532,54,650,60,516
10/04/20,17:45:10,470,-30,532,49,650,44,516
10/04/20,17:45:11,470,-22,532,50,650,45,516
10/04/20,17:45:12,470,-5,532,57,650,44,516
10/04/20,17:45:14,470,42,532,50,650,54,516
10/04/20,17:45:19,470,66,532,51,650,59,516
10/04/20,17:45:20,470,3,532,48,650,50,516
10/04/20,17:45:21,470,72,532,60,650,58,516
10/04/20,17:45:23,470,96,532,59,650,63,516
10/04/20,17:45:24,470,59,532,63,650,57,516
10/04/20,17:45:25,470,76,532,59,650,58,516
10/04/20,17:45:26,470,88,532,58,650,58,516
10/04/20,17:45:27,470,98,532,60,650,58,516
