raw_phase_delay,raw_thermistor_voltage,oxygen_ml_l,temperature,datetime
16.353,0.685490,7.399,18.1880,10/22/2020 17:21:28.828087
16.374,0.686561,7.389,18.1385,10/22/2020 17:21:30.014914
16.333,0.686652,7.434,18.1343,10/22/2020 17:21:31.194760
16.389,0.689348,7.406,18.0102,10/22/2020 17:21:32.380589
16.353,0.693043,7.488,17.8408,10/22/2020 17:21:33.566416
16.346,0.690438,7.465,17.9601,10/22/2020 17:21:34.767205
16.351,0.691383,7.471,17.9167,10/22/2020 17:21:35.947051
16.390,0.697075,7.496,17.6568,10/22/2020 17:21:37.121911
16.384,0.700126,7.539,17.5183,10/22/2020 17:21:38.311727
16.433,0.700166,7.486,17.5165,10/22/2020 17:21:39.501548
16.370,0.693977,7.481,17.7980,10/22/2020 17:21:40.685382
16.372,0.698182,7.529,17.6065,10/22/2020 17:21:41.959973
16.405,0.695523,7.462,17.7274,10/22/2020 17:21:43.393142
16.476,0.697637,7.411,17.6313,10/22/2020 17:21:44.243865
16.411,0.691548,7.408,17.9092,10/22/2020 17:21:45.424711
16.456,0.698053,7.437,17.6123,10/22/2020 17:21:46.724232
