date,time,wavelength1,turbidity_595_nm_raw,wavelength2,turbidity_700_nm_raw,wavelength3,cdom_460_nm_raw,wavelength4,datetime
10/22/20,09:13:50,595,76,700,83,460,74,516,10/22/2020 17:17:48.324711
10/22/20,09:13:52,595,77,700,81,460,74,516,10/22/2020 17:17:49.453694
10/22/20,09:13:53,595,76,700,82,460,74,516,10/22/2020 17:17:50.597635
10/22/20,09:13:54,595,77,700,83,460,75,516,10/22/2020 17:17:51.709661
10/22/20,09:13:55,595,78,700,82,460,76,516,10/22/2020 17:17:52.828668
10/22/20,09:13:56,595,78,700,100,460,78,516,10/22/2020 17:17:53.963634
10/22/20,09:13:57,595,82,700,124,460,82,516,10/22/2020 17:17:55.083639
10/22/20,09:13:58,595,78,700,86,460,78,516,10/22/2020 17:17:56.218605
10/22/20,09:14:00,595,79,700,85,460,71,516,10/22/2020 17:17:57.354566
10/22/20,09:14:01,595,79,700,87,460,73,516,10/22/2020 17:17:58.479559
10/22/20,09:14:02,595,77,700,87,460,73,516,10/22/2020 17:17:59.598566
10/22/20,09:14:03,595,86,700,98,460,77,516,10/22/2020 17:18:00.726550
10/22/20,09:14:04,595,77,700,91,460,73,516,10/22/2020 17:18:01.871487
10/22/20,09:14:05,595,125,700,185,460,78,516,10/22/2020 17:18:02.989501
10/22/20,09:14:06,595,84,700,94,460,76,516,10/22/2020 17:18:04.125462
10/22/20,09:14:07,595,81,700,108,460,75,516,10/22/2020 17:18:05.340212
10/22/20,09:14:09,595,90,700,116,460,78,516,10/22/2020 17:18:06.385418
10/22/20,09:14:10,595,97,700,150,460,85,516,10/22/2020 17:18:07.503427
10/22/20,09:14:11,595,148,700,281,460,83,516,10/22/2020 17:18:08.633406
10/22/20,09:14:12,595,83,700,93,460,74,516,10/22/2020 17:18:09.759395
10/22/20,09:14:13,595,96,700,120,460,77,516,10/22/2020 17:18:10.893363
10/22/20,09:14:14,595,83,700,97,460,74,516,10/22/2020 17:18:12.026335
10/22/20,09:14:15,595,79,700,90,460,74,516,10/22/2020 17:18:13.148333
10/22/20,09:14:16,595,79,700,85,460,73,516,10/22/2020 17:18:14.289283
10/22/20,09:14:18,595,78,700,84,460,73,516,10/22/2020 17:18:15.403305
10/22/20,09:14:19,595,81,700,89,460,73,516,10/22/2020 17:18:16.540264
10/22/20,09:14:20,595,97,700,92,460,76,516,10/22/2020 17:18:17.660273
10/22/20,09:14:21,595,91,700,96,460,74,516,10/22/2020 17:18:18.793239
10/22/20,09:14:22,595,116,700,158,460,77,516,10/22/2020 17:18:20.013975
10/22/20,09:14:23,595,96,700,119,460,76,516,10/22/2020 17:18:21.150934
10/22/20,09:14:24,595,82,700,106,460,75,516,10/22/2020 17:18:22.174198
10/22/20,09:14:25,595,77,700,93,460,72,516,10/22/2020 17:18:23.303179
10/22/20,09:14:27,595,78,700,82,460,73,516,10/22/2020 17:18:24.520924
10/22/20,09:14:28,595,77,700,82,460,74,516,10/22/2020 17:18:25.563136
10/22/20,09:14:29,595,78,700,84,460,74,516,10/22/2020 17:18:26.699099
10/22/20,09:14:30,595,79,700,84,460,72,516,10/22/2020 17:18:27.917840
10/22/20,09:14:31,595,77,700,83,460,73,516,10/22/2020 17:18:28.956063
10/22/20,09:14:32,595,79,700,84,460,72,516,10/22/2020 17:18:30.076068
