W M,2020,10,16,15,06,26,54976,51835,411.20,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:02.632453
W M,2020,10,16,15,06,27,54976,51835,411.19,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:03.758438
W M,2020,10,16,15,06,28,54976,51834,411.33,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:04.650057
W M,2020,10,16,15,06,29,54976,51834,411.36,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:05.675316
W M,2020,10,16,15,06,30,54976,51834,411.36,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:06.646715
W M,2020,10,16,15,06,31,54976,51835,411.23,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:07.678957
W M,2020,10,16,15,06,32,54976,51835,411.20,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:08.682273
W M,2020,10,16,15,06,33,54976,51835,411.20,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:09.721493
W M,2020,10,16,15,06,34,54976,51835,411.28,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:10.720822
W M,2020,10,16,15,06,35,54976,51834,411.36,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:11.716159
W M,2020,10,16,15,06,36,54976,51834,411.37,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:12.725461
W M,2020,10,16,15,06,37,54976,51834,411.28,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:13.722793
W M,2020,10,16,15,06,38,54976,51836,411.07,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:15.074181
W M,2020,10,16,15,06,39,54976,51835,411.23,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:15.771313
W M,2020,10,16,15,06,40,54976,51834,411.38,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:16.751693
W M,2020,10,16,15,06,41,54976,51834,411.39,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:17.767974
W M,2020,10,16,15,06,42,54976,51834,411.38,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:18.766305
W M,2020,10,16,15,06,43,54976,51834,411.39,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:19.799541
W M,2020,10,16,15,06,44,54976,51835,411.25,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:20.885636
W M,2020,10,16,15,06,45,54976,51835,411.22,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:21.801190
W M,2020,10,16,15,06,46,54976,51834,411.44,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:22.805503
W M,2020,10,16,15,06,47,54976,51832,411.67,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:23.928499
W M,2020,10,16,15,06,48,54976,51832,411.70,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:24.832083
W M,2020,10,16,15,06,49,54976,51832,411.70,45.00,16.40,22.10,1009,11.6,10/16/2020 19:06:25.856343
W M,2020,10,16,15,06,50,54976,51833,411.57,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:26.845697
W M,2020,10,16,15,06,51,54976,51834,411.35,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:27.862976
W M,2020,10,16,15,06,52,54976,51835,411.11,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:28.866294
W M,2020,10,16,15,06,53,54976,51837,410.84,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:29.876594
W M,2020,10,16,15,06,55,54976,51838,410.73,45.00,16.40,22.00,1009,11.6,10/16/2020 19:06:30.892873
